name;20201021;20201022;20201023;20201025;20201026;20201027;20201028;20201029;20201030;20201031;20201101;20201102;20201103;20201104;20201105;20201106;20201107;20201108;20201109;20201110;20201111;20201112;20201113;20201114;20201115;20201116;20201117;20201118;20201119;20201120;20201121;20201122;20201123;20201124;20201125;20201126;20201127;20201128;20201129;20201130;20201201;20201202;20201203;20201204;20201205;20201206;20201207;20201208;20201209;20201210;20201211;20201212;20201213;20201214;20201215;20201216;20201217;20201218;20201219;20201220;20201221;20201222;20201223;20201224;20201225;20201226;20201227;20201228;20201229;20201230;20201231;20210101;20210102;20210103;20210104;20210105;20210106;20210107;20210108;20210109;20210110;20210111;20210112;20210113;20210114;20210115;20210116;20210117;20210118;20210119;20210120;20210121;20210122;20210123;20210124;20210125;20210126;20210127;20210128;20210129;20210130;20210131;20210201;20210202;20210203;20210204;20210205;20210206;20210207;20210208;20210209;20210210;20210211;20210212;20210213;20210214;20210215;20210216;20210217;20210218;20210219;20210220;20210221;20210222;20210223;20210224;20210225;20210226;20210227;20210228;20210301;20210302;20210303;20210304;20210305;20210306;20210307;20210308;20210309;20210310;20210311;20210312;20210313;20210314;20210419;20210420;20210421;20210422;20210423;20210424;20210425;20210426;20210427;20210428;20210429;20210430;20210501;20210502;20210503;20210504;20210505;20210506;20210507;20210508;20210509;20210510;20210511;20210512;20210513;20210514;20210515;20210516;20210517;20210518;20210519;20210520;20210521;20210522;20210523;20210524;20210525;20210526;20210527;20210528;20210529;20210530;20210531;20210601;20210602;20210603;20210604;20210605;20210606;20210607;20210608;20210609;20210610;20210611;20210612;20210613;20210614;20210615;20210616;20210617;20210618;20210619;20210620;20210621;20210622;20210623;20210624;20210625;20210626;20210627;20210628;20210629;20210630;20210701;20210702;20210703;20210704;20210705;20210706;20210707;20210708;20210709;20210710;20210711;20210712;20210713;20210714;20210715;20210716;20210717;20210718;20210719;20210720;20210721;20210722;20210723;20210724;20210725;20210726;20210727;20210728;20210729;20210730;20210731;20210801;20210802;20210803;20210804;20210805;20210806;20210807;20210808;20210809;20210810;20210811;20210812;20210813;20210814;20210815;20210816;20210817;20210818;20210819;20210820;20210821;20210822;20210823;20210824;20210825;20210826;20210827;20210828;20210829;20210830;20210831;20210901;20210902;20210903;20210905;20210906;20210907;20210908;20210909;20210910;20210911;20210912;20210913;20210914;20210915;20210916;20210917;20210918;20210919;20210920;20210921;20210922;20210923;20210924;20210925;20210926;20211021;20211022;20211023;20211024;20211025;20211026;20211027;20211028;20211029;20211030;20211031;20211101;20211102;20211103;20211104;20211105;20211106;20211107;20211108;20211109;20211110;20211111;20211112;20211113;20211114;20211115;20211116;20211117;20211118;20211119;20211120;20211121;20211122;20211123;20211124;20211125;20211126;20211127;20211128;20211129;20211130;20211201;20211202;20211203;20211204;20211205;20211206;20211207;20211208;20211209;20211210;20211211;20211212;20211213;20211214;20211215;20211216;20211217;20211218;20211219;20211220;20211221;20211222;20211223;20211224;20211225;20211226;20211227;20211228
'Til My Baby Comes Back to Me;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;10;12;12;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15
(I Can't Get No) Satisfaction;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;7;7;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10
123456;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;34;34;34;35;35;35;35;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;37;37;37;37;37;37;37;37;37;37;37;37;37;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;43;43;43;43;43;43;43;43;43;43;43;43;43;43;43;43;43;43;43;43;43;43;43;43;43;43;43;43;43;43;43;43;43;43;43;43;43;43;43;43;43;43;43;43;43;43;43;43;43;43;43;43;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44
16 Shots;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;21;21;21;21;21;21;21;21;21;21;22;24;24;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;29;29;29;29;29;29;29;29;29;29;30;30;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;32;32;32;32;32;32;32;32;32;32;32;32;32;32;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34
1984;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;74;74;74;74;74;74;74;74;74;74;74;74;74;74;74;74;75;75;75;75;75;75;75;75;75;75;75;75;75;75;75;75;75;75;75;75;75;75;75;75;75;75;75;75;75;75;75;75;75;75;75;75;75;75;75;75;75;75;75;75;75;75;75;75;75;75;79;79;79;79;79;79;79;79;79;79;79;79;79;79;79;79;79;79;79;79;79;79;79;79;79;79;79;79;79;79;79;79;79;79;79;79;79;79;79;79;79;79;79;79;79;79;79;79;79;79;79;79;79;79;79;79;79;79;79;79;79;79;79;79;79;79;79;79;79;79;79;79;79;79;79;79;79;79;79;79;79;79;79;79;79;79;79;79;79;79;79;79;79;79;79;79;79;79;79;79;79;79;79;79;79;79;79;79;79;79;79;79;79;79;79;79;79;79;79;79;79;79;79;79;79;79;79;79;79;79;79;79;79;79;79;79;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;82;82;82;82;82;82;82;82;82;82;82;82;82;82;82;82;82;82;82;82;82;82;82;82;82;82;82;82;82;82;82;82;82;82;82;82;82;82;82;82;82;82;82;82;82;82;82;82;82;82;82;82;82;82;82;82;82;83;83;83;83;83;83;83
200% RUSSIAN 200% CRAZY;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42
21 grammi;21;21;21;21;21;21;21;21;21;21;21;21;21;21;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;23;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;25;25;25;25;25;25;25;25;25;26;26;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;28;28;28;28;28;28;28;28;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;30;30;30;30;30;30;30;32;32;32;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35
22 Samurai;59;59;59;59;59;59;59;59;59;59;59;59;59;59;59;59;59;59;59;59;59;59;59;59;59;59;59;59;59;59;59;59;59;59;59;59;59;59;59;59;59;59;59;59;59;59;59;59;59;59;59;59;59;59;59;59;59;59;59;59;59;59;59;59;59;59;59;59;59;60;60;60;60;60;61;61;61;61;61;61;61;61;61;61;61;61;61;61;61;61;61;61;61;61;61;61;61;61;61;61;61;61;61;61;61;61;61;61;61;61;61;61;61;61;61;61;61;61;61;61;61;61;61;61;61;61;61;61;61;61;61;61;61;61;61;61;61;61;61;61;61;62;64;64;68;68;69;69;69;69;69;69;69;69;69;69;69;69;69;69;69;69;69;69;69;69;69;69;69;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;71;71;71;71;71;71;71;71;71;71;71;71;71;71;71;71;71;71;71;71;71;71;71;71;71;71;71;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;74;74;74;74;74;74;74;74;74;74;74;74;74;74;74;74;74;74;74;74;74;74;74;74;74;74;74;74;74;74;74;74;74;74;74;74;74;74;74;74;74;74;74;74;74;74;74
24000 Baci;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34
